variant,metric,mean,std
baseline_all,MSE,14.11985284257888,1.7020696492771856
hmbfr_top32,MSE,14.723506423536989,1.4541468845423873
hmbfr_top64,MSE,14.558310064935466,1.713250446738315
hmbfr_top128,MSE,15.756762126142622,5.116086986048962
