dataset,variant,best_model,best_RMSE,best_MAE,best_R2
with_vecs_new,full,LGBM,2.735509723665047,2.027176736880527,0.6653597878057953
with_vecs_new,top128,LGBM,2.737575977231093,2.029620674752922,0.664854059262387
with_vecs_new,top32,LGBM,2.722999423314737,2.0051911744536026,0.668413607419455
with_vecs_new,top64,LGBM,2.6418705483109033,1.9692935348105245,0.687877793838594
without_vecs_new,full,HGB,2.769808413012029,2.066330153448341,0.6569155287823427
without_vecs_new,top128,HGB,2.7795474569900906,2.0759306930609203,0.6544986186388042
without_vecs_new,top32,LGBM,2.7341885714279015,2.103312215464928,0.665682947982801
without_vecs_new,top64,LGBM,2.7997579711810157,2.1297700881236157,0.6494559654451746
