iter	Passed	Remaining
408	5299	14135
409	5311	14119
410	5323	14104
411	5335	14088
412	5346	14072
413	5358	14057
414	5370	14040
415	5382	14024
416	5394	14009
417	5406	13993
418	5419	13981
419	5431	13965
420	5443	13950
421	5455	13935
422	5467	13920
423	5479	13905
424	5491	13889
425	5504	13876
426	5516	13863
427	5529	13850
428	5542	13835
429	5554	13821
430	5568	13810
431	5582	13800
432	5595	13789
433	5610	13780
434	5623	13768
435	5636	13754
436	5648	13740
437	5661	13726
438	5673	13712
439	5686	13698
440	5698	13683
441	5711	13670
442	5723	13655
443	5735	13640
444	5747	13625
445	5760	13613
446	5773	13601
447	5786	13587
448	5799	13574
449	5811	13559
450	5822	13543
451	5835	13529
452	5847	13514
453	5859	13499
454	5871	13484
455	5883	13469
456	5899	13465
457	5915	13457
458	5930	13450
459	5943	13438
460	5957	13426
461	5969	13411
462	5981	13397
463	5993	13382
464	6005	13367
465	6018	13353
466	6030	13340
467	6043	13327
468	6055	13311
469	6067	13296
470	6079	13281
471	6092	13268
472	6104	13254
473	6116	13240
474	6130	13228
475	6143	13216
476	6156	13203
477	6168	13188
478	6179	13172
479	6192	13158
480	6204	13144
481	6217	13131
482	6230	13119
483	6244	13108
484	6258	13096
485	6273	13088
486	6286	13075
487	6299	13062
488	6312	13050
489	6324	13036
490	6337	13022
491	6349	13008
492	6361	12993
493	6373	12979
494	6386	12965
495	6398	12952
496	6410	12937
497	6422	12922
498	6434	12907
499	6446	12893
500	6458	12879
501	6470	12864
502	6482	12849
503	6494	12834
504	6506	12820
505	6518	12805
506	6530	12791
507	6543	12777
508	6555	12763
509	6568	12750
510	6581	12737
511	6593	12724
512	6607	12713
513	6621	12702
514	6635	12690
515	6650	12682
516	6665	12672
517	6678	12661
518	6692	12650
519	6706	12639
520	6719	12626
521	6733	12616
522	6747	12604
523	6761	12593
524	6775	12583
525	6789	12571
526	6801	12558
527	6814	12545
528	6827	12532
529	6841	12520
530	6854	12508
531	6868	12497
532	6883	12487
533	6897	12477
534	6911	12466
535	6926	12456
536	6941	12448
537	6957	12439
538	6972	12430
539	6987	12422
540	7003	12415
541	7020	12409
542	7036	12401
543	7050	12389
544	7063	12377
545	7077	12366
546	7090	12353
547	7105	12343
548	7119	12333
549	7134	12322
550	7148	12312
551	7162	12300
552	7176	12289
553	7190	12278
554	7204	12266
555	7217	12254
556	7230	12240
557	7242	12226
558	7255	12213
559	7268	12201
560	7283	12190
561	7296	12178
562	7310	12167
563	7323	12153
564	7335	12139
565	7347	12124
566	7360	12111
567	7372	12097
568	7384	12082
569	7397	12069
570	7409	12055
571	7422	12042
572	7435	12029
573	7448	12015
574	7460	12001
575	7473	11988
576	7485	11974
577	7498	11961
578	7510	11947
579	7522	11932
580	7537	11921
581	7551	11911
582	7564	11898
583	7576	11884
584	7590	11871
585	7603	11858
586	7616	11846
587	7629	11833
588	7643	11821
589	7655	11807
590	7668	11795
591	7682	11783
592	7695	11771
593	7709	11758
594	7721	11744
595	7734	11731
596	7747	11718
597	7759	11704
598	7772	11690
599	7784	11677
600	7798	11664
601	7810	11651
602	7823	11638
603	7836	11624
604	7849	11611
605	7862	11598
606	7875	11586
607	7889	11574
608	7902	11561
609	7914	11547
610	7929	11536
611	7943	11525
612	7958	11515
613	7972	11504
614	7987	11494
615	8001	11482
616	8014	11469
617	8027	11456
618	8040	11444
619	8052	11429
620	8065	11416
621	8077	11402
622	8090	11389
623	8102	11375
624	8116	11362
625	8128	11348
626	8141	11335
627	8153	11320
628	8165	11306
629	8177	11293
630	8191	11280
631	8204	11267
632	8218	11256
633	8232	11245
634	8247	11234
635	8261	11223
636	8276	11213
637	8290	11201
638	8303	11188
639	8315	11174
640	8328	11161
641	8342	11149
642	8355	11135
643	8367	11122
644	8380	11108
645	8392	11094
646	8405	11081
647	8418	11068
648	8431	11055
649	8443	11041
650	8455	11027
651	8468	11014
652	8481	11001
653	8493	10987
654	8506	10973
655	8518	10960
656	8531	10946
657	8546	10936
658	8558	10922
659	8571	10908
660	8583	10895
661	8596	10882
662	8609	10869
663	8622	10856
664	8636	10843
665	8649	10831
666	8662	10818
667	8676	10806
668	8689	10793
669	8702	10780
670	8716	10768
671	8730	10756
672	8743	10744
673	8756	10731
674	8769	10718
675	8782	10705
676	8796	10693
677	8809	10679
678	8822	10667
679	8835	10654
680	8839	10630
681	8852	10617
682	8865	10604
683	8878	10591
684	8892	10579
685	8904	10566
686	8918	10554
687	8931	10541
688	8944	10528
689	8957	10515
690	8971	10503
691	8983	10488
692	8995	10475
693	9008	10461
694	9020	10447
695	9032	10434
696	9045	10421
697	9058	10407
698	9071	10395
699	9084	10381
700	9096	10368
701	9110	10355
702	9123	10343
703	9135	10328
704	9148	10316
705	9161	10302
706	9173	10289
707	9186	10276
708	9199	10263
709	9212	10250
710	9225	10237
711	9239	10225
712	9254	10214
713	9267	10202
714	9282	10191
715	9296	10179
716	9309	10166
717	9323	10154
718	9336	10142
719	9350	10129
720	9364	10117
721	9378	10105
722	9391	10093
723	9404	10080
724	9417	10067
725	9430	10054
726	9443	10041
727	9456	10027
728	9469	10014
729	9482	10001
730	9495	9988
731	9507	9975
732	9520	9961
733	9533	9949
734	9546	9936
735	9559	9922
736	9571	9909
737	9584	9896
738	9596	9882
739	9609	9869
740	9622	9855
741	9634	9842
742	9646	9828
743	9658	9814
744	9670	9800
745	9682	9786
746	9694	9772
747	9706	9758
748	9718	9744
749	9730	9730
750	9742	9716
751	9754	9702
752	9767	9689
753	9779	9675
754	9790	9661
755	9803	9647
756	9815	9633
757	9827	9619
758	9839	9605
759	9850	9591
760	9862	9577
761	9875	9564
762	9887	9550
763	9899	9536
764	9911	9523
765	9924	9509
766	9937	9496
767	9950	9483
768	9962	9470
769	9975	9457
770	9988	9443
771	10000	9430
772	10013	9417
773	10028	9406
774	10041	9393
775	10055	9381
776	10070	9370
777	10085	9359
778	10100	9348
779	10115	9337
780	10129	9325
781	10143	9313
782	10157	9301
783	10171	9289
784	10184	9276
785	10196	9262
786	10207	9248
787	10220	9234
788	10232	9221
789	10245	9208
790	10258	9195
791	10272	9183
792	10285	9169
793	10297	9156
794	10311	9143
795	10325	9131
796	10338	9119
797	10352	9106
798	10365	9094
799	10379	9082
800	10393	9069
801	10407	9057
802	10421	9046
803	10435	9033
804	10448	9020
805	10461	9008
806	10475	8995
807	10487	8982
808	10501	8969
809	10514	8956
810	10528	8944
811	10542	8932
812	10556	8920
813	10570	8908
814	10583	8895
815	10596	8882
816	10609	8869
817	10623	8857
818	10636	8844
819	10649	8831
820	10663	8818
821	10677	8806
822	10690	8793
823	10702	8780
824	10715	8767
825	10729	8754
826	10741	8741
827	10754	8728
828	10767	8715
829	10780	8702
830	10792	8688
831	10804	8675
832	10818	8662
833	10831	8649
834	10844	8636
835	10857	8623
836	10870	8610
837	10883	8597
838	10896	8584
839	10909	8571
840	10923	8559
841	10936	8546
842	10950	8534
843	10962	8520
844	10977	8508
845	10990	8496
846	11002	8482
847	11015	8469
848	11028	8456
849	11040	8442
850	11053	8429
851	11066	8417
852	11079	8403
853	11092	8390
854	11105	8377
855	11118	8364
856	11131	8351
857	11143	8338
858	11156	8325
859	11169	8312
860	11183	8299
861	11195	8286
862	11208	8273
863	11221	8260
864	11233	8246
865	11247	8234
866	11260	8221
867	11272	8207
868	11285	8194
869	11297	8180
870	11309	8167
871	11322	8154
872	11335	8140
873	11347	8127
874	11359	8113
875	11372	8101
876	11385	8088
877	11397	8074
878	11409	8060
879	11422	8047
880	11434	8034
881	11446	8020
882	11458	8006
883	11470	7993
884	11482	7979
885	11494	7965
886	11507	7952
887	11519	7939
888	11532	7926
889	11546	7913
890	11559	7900
891	11573	7888
892	11587	7876
893	11600	7863
894	11615	7851
895	11627	7838
896	11642	7826
897	11656	7814
898	11671	7802
899	11686	7790
900	11699	7778
901	11712	7765
902	11725	7751
903	11737	7738
904	11749	7724
905	11763	7712
906	11776	7699
907	11789	7686
908	11802	7673
909	11814	7660
910	11827	7646
911	11839	7633
912	11850	7619
913	11862	7605
914	11875	7592
915	11887	7578
916	11899	7565
917	11911	7551
918	11927	7540
919	11939	7526
920	11951	7513
921	11965	7500
922	11977	7487
923	11990	7474
924	12004	7462
925	12016	7448
926	12029	7435
927	12041	7422
928	12053	7408
929	12066	7395
930	12078	7382
931	12090	7368
932	12104	7355
933	12115	7342
934	12128	7328
935	12140	7315
936	12153	7302
