iter	RMSE
0	4.47665282
1	4.449073639
2	4.41314875
3	4.383755815
4	4.346623125
5	4.317627611
6	4.290483802
7	4.26207284
8	4.229622967
9	4.19683947
10	4.170487747
11	4.143966538
12	4.118231819
13	4.089083924
14	4.064825058
15	4.043826589
16	4.02320616
17	3.997045096
18	3.979778591
19	3.958165181
20	3.935172021
21	3.912831513
22	3.892202417
23	3.871473675
24	3.852117995
25	3.831221729
26	3.80636949
27	3.786272501
28	3.771628586
29	3.754727741
30	3.73772778
31	3.719256274
32	3.70384866
33	3.687761277
34	3.665097161
35	3.645478702
36	3.6272695
37	3.612154109
38	3.59978996
39	3.585059727
40	3.574034255
41	3.558328928
42	3.542138177
43	3.530635932
44	3.514237214
45	3.500481186
46	3.487066783
47	3.477396532
48	3.466455209
49	3.457770561
50	3.443369909
51	3.42909074
52	3.414694622
53	3.401222129
54	3.393412707
55	3.383853261
56	3.370390173
57	3.360137087
58	3.346439398
59	3.335960837
60	3.32401242
61	3.315730321
62	3.301811734
63	3.28983693
64	3.27474962
65	3.261990831
66	3.252991797
67	3.245231116
68	3.233832649
69	3.224257681
70	3.217294047
71	3.204219055
72	3.192937339
73	3.182205183
74	3.16902738
75	3.161972963
76	3.15079248
77	3.137517724
78	3.127069949
79	3.118800449
80	3.108418486
81	3.099288151
82	3.08869562
83	3.080299822
84	3.070975735
85	3.063590125
86	3.05113397
87	3.046145534
88	3.03858694
89	3.029245136
90	3.025259242
91	3.014971494
92	3.006364963
93	2.996746768
94	2.9837218
95	2.977505884
96	2.968557353
97	2.958228863
98	2.950808201
99	2.945097625
100	2.940083171
101	2.934704455
102	2.926922769
103	2.91995902
104	2.915023429
105	2.906412883
106	2.895614184
107	2.889210689
108	2.885537789
109	2.879279788
110	2.871270822
111	2.864351065
112	2.855146738
113	2.846610894
114	2.840389841
115	2.834615192
116	2.828198405
117	2.821701439
118	2.811063168
119	2.803606908
120	2.798064185
121	2.790705689
122	2.78368137
123	2.776700779
124	2.773777564
125	2.766344766
126	2.758858103
127	2.75537739
128	2.747777075
129	2.742730211
130	2.735421351
131	2.730679252
132	2.726052373
133	2.721489665
134	2.713011727
135	2.708928799
136	2.703575866
137	2.696561597
138	2.691028996
139	2.683087322
140	2.677980935
141	2.673920848
142	2.667988794
143	2.662039132
144	2.656101761
145	2.647329821
146	2.637820912
147	2.630977401
148	2.622963315
149	2.616186747
150	2.610095164
151	2.603302162
152	2.598364361
153	2.595328103
154	2.589092509
155	2.583104058
156	2.574562806
157	2.568178888
158	2.563112648
159	2.55870662
160	2.553619408
161	2.549007801
162	2.542066752
163	2.538559858
164	2.529667615
165	2.523542186
166	2.521575241
167	2.513651836
168	2.508953247
169	2.504326673
170	2.500281615
171	2.494655192
172	2.490987734
173	2.482753617
174	2.474429758
175	2.467733412
176	2.463664861
177	2.457821771
178	2.455362386
179	2.45009544
180	2.447923195
181	2.440739105
182	2.434412936
183	2.430144132
184	2.426353139
185	2.41783452
186	2.411410423
187	2.404897439
188	2.397404292
189	2.39151037
190	2.387166928
191	2.381963245
192	2.375994967
193	2.367191054
194	2.363050578
195	2.357760745
196	2.353122227
197	2.350545124
198	2.347478096
199	2.343459214
200	2.339258925
201	2.332871517
202	2.324257389
203	2.319548273
204	2.315967923
205	2.30795878
206	2.304510988
207	2.301065102
208	2.293976368
209	2.286915448
210	2.282136968
211	2.276047367
212	2.271084948
213	2.269129254
214	2.265263234
215	2.259876487
216	2.253319533
217	2.247307133
218	2.24146844
219	2.232912899
220	2.225980494
221	2.221998527
222	2.21818328
223	2.215377804
224	2.21055917
225	2.202429519
226	2.198673052
227	2.194600263
228	2.191531114
229	2.188104405
230	2.184747948
231	2.179509921
232	2.174905947
233	2.172303636
234	2.166540274
235	2.162981013
236	2.157823389
237	2.155925453
238	2.152326617
239	2.145413345
240	2.142532971
241	2.134422508
242	2.129559511
243	2.12216795
244	2.115699748
245	2.111024146
246	2.10451898
247	2.098701434
248	2.091459048
249	2.083895927
250	2.07817789
251	2.07008479
252	2.062417596
253	2.057156726
254	2.048921114
255	2.04087347
256	2.036993503
257	2.031545821
258	2.027489644
259	2.020421793
260	2.016672429
261	2.012627712
262	2.008797042
263	2.003996288
264	2.000029339
265	1.995195103
266	1.990006997
267	1.985278815
268	1.977451228
269	1.971040564
270	1.966335571
271	1.963043386
272	1.958266749
273	1.952255798
274	1.947212882
275	1.939167612
276	1.933469167
