DeltaG,TPSA,MolecularWeight,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,HeavyAtomCount,MolLogP
-15.38,-1.086204058361581,-0.7670204730902143,-0.6844105339628324,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.3468600023632246
-19.97,-1.3421785334591974,-0.8914419020940635,-0.9383481186396901,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.7465093054508884
-14.62,-0.7811423870643132,-0.7041391492316633,-0.9836956611781744,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.3065922031372031
-18.47,-0.7811423870643132,-0.6831787079454799,-1.092253613299042,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.14806785849185514
-16.07,-0.8687782853642556,-0.7041391492316633,-0.9883806144024467,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.2913799234295948
-18.0,-1.3421785334591974,-0.8914419020940632,-1.001065445267019,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.8608423217148582
-19.47,-1.3421785334591974,-0.8914419020940632,-0.8544973590168596,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.5329867187857258
-20.89,-1.3421785334591974,-0.8914419020940635,-0.896669663979026,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.5329867187857258
-14.38,-0.8687782853642556,-0.7250995905178469,-0.8160413181559599,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.33557125181097236
-15.14,-0.8687782853642556,-0.9338202546151371,-0.7196613241907167,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.8322420933014988,-0.2241855743531472
-13.81,-0.5251679119666968,-0.6006781615139983,-0.5205291495984377,0.0863224468409811,-0.07590529132880323,-0.28107196429256437,-0.5362532522797355,-0.06545472817330716
-13.73,-0.5251679119666968,-0.600678161513998,-0.4820024738374029,0.0863224468409811,-0.07590529132880323,-0.28107196429256437,-0.5362532522797355,0.14421316318132976
-16.96,-1.086204058361581,-0.7670204730902143,-0.7218543497623726,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.13719211100858736
-18.06,-0.7811423870643132,-0.7460600318040305,-0.6215522425026831,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.4127477586352727
-14.47,-1.3421785334591974,-0.18320564218655178,-0.4486959647221899,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.0922699907470906,1.4086908927232487
-10.3,-0.7811423870643132,-1.1835780525202482,-0.9999460074120118,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-1.1282309343232622,-0.7196515894452928
-21.01,-1.3421785334591974,-0.8914419020940632,-0.8894838523453,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.5329867187857258
-18.9,-0.8687782853642556,-0.7250995905178469,-0.7442035015353885,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.12204866514581036
-19.5,-0.7811423870643132,-0.7460600318040305,-0.6215522425026831,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.41274775863527297
-20.26,-1.3421785334591974,-0.8914419020940632,-0.8544973590168596,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.5329867187857258
-25.43,-1.3421785334591974,-0.18320564218655147,-0.4702533996233678,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.0922699907470906,1.7214030497896033
-19.95,-0.7811423870643132,-0.6831787079454795,-1.120996859833946,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.3626917866743102
-19.39,-1.3421785334591974,-0.9124023433802467,-0.8273054094855559,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.6153945978171675
-15.91,-1.086204058361581,-0.7041391492316633,-0.9452480091496235,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.6842476727906172,0.35773574984649237
-15.53,-0.7811423870643132,-0.7041391492316633,-0.9836956611781744,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.30769354465449616
-22.79,-0.8687782853642556,-0.16270267084907472,-0.38017842205857555,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.0922699907470906,1.1562771837286805
-27.11,-0.8687782853642556,-0.183663112135258,-0.38751984416107654,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,-0.0922699907470906,0.7827847416767233
-13.43,-0.6128038102666391,-0.7045966191803702,-0.9410077302156499,0.0863224468409811,-1.0057451101066417,-0.28107196429256437,-0.6842476727906172,-0.3312910369098822
-21.47,-0.8687782853642556,-0.037823771896519344,-0.21705748256664556,0.0863224468409811,-1.0057451101066417,-0.8097677896413421,0.05572442976379104,1.1562771837286805
-15.03,-1.3421785334591974,-0.8914419020940635,-0.967091365174594,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.8608423217148582
-15.58,-1.3421785334591974,-0.8914419020940635,-0.967091365174594,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.8608423217148582
-18.96,-0.7811423870643132,-0.7041391492316633,-0.8649282566227294,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,-0.021263399791929635
-17.78,-1.3421785334591974,-0.8914419020940635,-0.911041287246478,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.8322420933014988,0.7465093054508884
-17.45,-0.7811423870643132,-0.7041391492316637,-0.940774437213498,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-0.6842476727906172,0.19225918687323326
-21.72,-1.3421785334591974,-0.18320564218655147,-0.45588177635591587,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-0.0922699907470906,1.7214030497896033
-11.15,-0.051767663871754896,-0.7260145304152599,-0.5605088057519781,0.0863224468409811,-0.07590529132880323,0.2476238610562133,-0.6842476727906172,-0.6959727468234955
-1.31,-1.3421785334591974,-1.8077126211758052,-1.5163644725247085,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-2.016197457388552,-1.1553009933794676
-11.99,-0.6128038102666391,-0.8923568419914762,-0.7476298741563314,0.0863224468409811,-1.0057451101066417,-0.28107196429256437,-0.8322420933014988,-0.4216010413279004
-11.3,-0.7811423870643132,-1.1835780525202477,-0.9334276137549496,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-1.1282309343232622,-0.360531654194009
-11.28,-0.7811423870643132,-1.3294173927589867,-1.041715135495585,0.0863224468409811,-0.07590529132880323,-0.8097677896413421,-1.2762253548341438,-0.5728289984211824
-12.56,-1.3421785334591974,-0.7086098782758392,-1.454856025069764,0.0863224468409811,-1.0057451101066417,-1.3384636149901197,-1.572214195855907,0.22612543852998943
