,unique_colors,entropy
0,21,2.0777618637120003
1,18,1.890939309959696
2,16,1.6916207385498292
3,16,1.6916207385498292
4,19,1.6855217920808343
5,20,1.9787242982518047
6,16,1.3585445244854122
7,16,1.7607869865987331
8,18,1.6505637638164963
9,17,1.530782067459809
10,19,1.6656574602702432
11,17,1.5114365493186876
12,18,1.6297732441616875
13,18,1.7423380543163935
14,16,1.5270820174061877
15,16,1.86838622042273
16,17,1.5620400456705252
17,21,2.1942017589978806
18,19,1.8198327090785618
19,21,2.1917867164217237
20,20,2.175696396315733
21,22,1.83752810365097
22,20,2.2464995430895387
23,17,1.3751415671258609
24,19,1.7556678077877
25,19,1.7556678077877
26,17,1.3585445244844119
27,13,1.2704396464235894
28,17,1.770879336294437
29,20,1.887549942979515
30,17,1.7505822435983664
31,17,1.7505822435983664
32,20,2.0835325841667722
33,20,1.9027882477259657
34,19,1.822262243109482
35,20,2.1932900626094263
36,17,1.547379110101258
37,17,1.7987794738692124
38,17,1.35351329233283
39,17,1.4418753156609505
40,16,1.4732112318852078
41,19,1.897647425485005
42,19,2.1574347133659506
43,18,1.9749682834481739
44,18,2.34448450395929
45,17,1.8935033858807886
46,20,2.3648090020044
47,17,2.3254500220695333
48,22,2.5613812940389726
49,22,2.5417246024315574
50,20,2.2001661565969646
51,18,2.2100210813610874
52,17,2.1774224425945627
53,23,2.4563031093601384
54,21,2.3249484275435077
55,18,2.143968036061018
56,19,2.423469910224253
57,20,2.390549388435739
58,19,2.087465408967794
59,19,2.316543699151566
60,25,2.797211812230128
61,16,2.2908786998850497
62,21,2.483966411468216
63,19,2.12319684939284
64,19,2.402654297410512
65,20,2.5848482969032487
66,16,1.5321132495577698
67,16,1.5321132495577698
68,23,2.372939036137637
69,23,2.372939036137637
70,20,2.452912779836879
71,22,2.2831769359702587
72,19,2.4183485171591688
73,19,2.397693201967866
74,19,2.217029755309581
75,18,2.316160969925077
76,19,2.0944737050689612
77,17,2.205008137383394
78,17,2.151715684562452
79,21,2.500824050905403
80,18,2.160266529782518
81,21,2.4655840017664787
82,23,2.6352867277001866
83,21,2.320387642775784
84,21,2.40709588561253
85,20,2.452633894868253
86,22,2.5450459484256047
87,15,2.2920833894184365
88,19,2.4243241434233687
89,14,1.3102567427497676
90,17,2.2305883564290574
91,21,2.5488180509404375
92,16,2.1509027261843388
93,20,2.4781343838056475
94,18,2.320758340958837
95,21,2.506414153226581
96,16,2.2546460962655104
97,18,2.1001902374658803
98,18,2.1001902374658803
99,19,2.4127354331670228
100,22,2.4921256461399603
101,17,2.266813440448697
102,20,2.4907744565019923
103,20,2.51436402832703
104,21,2.513733913390983
105,18,1.8847320469121804
106,18,1.6405012995133321
107,19,1.653831052984639
108,21,2.545073331778883
109,16,2.157899037605291
110,19,2.212676443104938
111,18,2.3101767109126436
112,16,2.304612339553585
113,18,2.3275819996774807
114,19,1.7689975612600068
115,21,2.5553767190062042
116,18,2.3244509404020572
117,18,2.3780562898713113
118,16,2.3303257379278377
119,17,2.403549711478762
120,17,2.389019586515861
121,18,2.382931355912694
122,19,2.1588819992689388
123,17,2.3228778329637048
124,17,2.3854917005509813
125,18,2.4022385369238095
126,16,2.33771920551911
127,17,2.334983125217936
128,21,2.4883046692190396
129,18,2.3350255031173064
130,17,2.302551231252801
131,25,2.5863170354338303
132,22,2.493841814946656
133,22,2.493841814946656
134,22,2.494279277154386
135,22,2.494279277154386
136,22,2.4053366439513404
137,25,2.5097758137981074
138,25,2.5633507231608217
139,26,2.6662908549444198
140,23,2.5738915805449465
141,23,2.5738915805449465
142,18,2.3969574742114497
143,25,2.595048317640034
144,17,1.7212686496939582
145,21,2.338259892842926
146,26,2.8367535639090344
147,24,2.4594738139073398
148,22,2.3106741980530945
149,19,1.780563371749874
150,26,2.6116738438651046
151,19,1.9935387540687364
152,18,1.6892906725786627
153,18,1.7532382737577799
154,20,2.047439188923639
155,21,2.1243328575051734
156,17,1.6774459771211696
157,28,2.848766883133915
158,24,2.624526422880944
159,17,1.4469537741654956
160,18,1.9374802732219794
161,18,1.8634921341575637
162,18,2.250108959975478
163,14,1.5916167571734143
164,17,1.7918121346454485
165,18,1.8868567961349973
166,26,2.7455028654054887
167,16,2.179668583870625
168,20,2.466396409226039
169,18,1.743995276419949
170,20,2.251655784292894
171,18,1.5265302457724341
172,18,1.6315371871441275
173,19,2.1272825052949726
174,19,2.2514861968770634
175,17,2.110793283766751
176,23,2.5514335455607395
177,20,2.1678306358804886
178,19,2.2936443945291667
179,21,2.2333264780633146
180,18,2.1150754847600264
181,21,2.2276296548632524
182,19,1.838163809308911
183,19,1.9204836423023741
184,19,2.082927603774951
185,20,2.0327600276713174
186,21,2.0360810655223327
187,21,1.978425752011007
188,20,1.8864515910455557
189,18,1.9696044622535414
190,21,2.104807304098901
191,17,2.145344896756379
192,16,2.277629211555452
193,18,2.317036612305637
194,19,2.133924904744485
195,20,2.302221800817517
196,18,2.269288312332357
197,20,2.3552104665786153
198,16,2.047305084696476
199,16,1.7942612679172996
200,18,2.0092980415729635
201,21,2.257958632699521
202,17,2.439830829079905
203,21,2.364839069762957
204,22,2.3681866889556815
205,20,1.864853201646064
206,19,1.7606990399392823
207,18,1.7171818935584828
208,18,1.6405012995133321
209,17,1.7939627837077423
210,17,1.4386552528447711
211,20,2.2415013397625674
212,17,1.7824451467843039
213,15,1.5788837643063816
214,16,1.7247604917929755
215,18,1.6917202066095827
216,21,1.8844548178991145
217,20,1.9312116976530187
218,23,2.0103524633456367
219,20,2.2491302087374145
220,20,2.2820807845029862
221,18,2.1500077109999958
222,20,2.0266835032187616
223,17,1.9296751788609938
224,16,1.8904472561012406
225,15,1.6889647083904156
226,18,1.8780648478555342
227,19,1.7925076110854679
228,19,1.8584609020049816
229,19,1.8990275315990848
230,18,1.680154396119716
231,18,1.6239042568718833
232,17,1.6256681998553233
233,17,1.6188730247213012
234,17,1.6783904531382765
235,17,1.7944138327661103
236,17,1.8241684647901242
237,16,1.7684199168709775
238,16,1.7684199168709775
239,18,2.0444220622543656
240,19,1.8082668985886952
241,18,1.644866940616434
242,17,1.7101538882624594
243,17,1.6081449693696566
244,17,1.7306655229486425
245,18,1.7305116470307893
246,18,1.6372340103441898
247,20,1.855580318914693
248,16,1.5364788906608715
249,17,1.5454430030290762
250,17,1.6256681998553233
251,17,1.5049019709804032
252,17,1.5031380279979631
253,17,1.3718742779567186
254,19,1.8148014769269796
255,18,1.7239770686925049
256,18,1.4865409853555143
257,18,1.729846055982309
258,14,1.1718817448739967
259,19,1.9377462759923034
260,18,1.7575495828211305
261,15,1.3301210745593586
262,14,1.2462232432164342
263,21,2.292808839853631
264,20,2.0321014414501977
265,18,1.7651825130933747
266,20,2.1009490937735547
267,23,2.3158412538049595
268,20,2.4343189640499894
269,19,2.1863698784246313
270,18,2.2276900850821937
271,19,2.0141197887258717
272,20,2.0221659861452546
273,17,1.6992536688210733
274,22,1.8723139678265661
275,20,2.0169309718432076
276,21,2.151978193950268
277,18,2.176586299091093
278,21,2.0203217780191056
279,18,1.6910546155611028
280,18,1.880173632407482
281,19,2.0480072316899864
282,22,2.205534739323746
283,20,2.0869537492527677
284,21,2.1291119469038704
285,18,1.6156057355511588
286,16,1.6316060175883345
287,21,2.3063714234889385
288,20,2.126887400588867
289,19,2.210074744984276
290,19,2.1726534188724704
291,15,1.3135240319179098
292,17,1.3751415671258609
293,16,1.340183538861523
294,15,1.503024208583236
295,19,1.9178819441817123
296,18,2.1500077109999958
297,18,1.6289354890234655
298,21,2.39725123619223
299,18,1.6405012995133321
300,15,1.5648884197855943
301,17,1.4948395066772386
302,19,1.6120917703886093
303,25,2.6217525684937115
304,16,1.6484636570255207
305,16,1.5865166945776257
306,17,1.4948395066772386
307,17,1.8693691888298183
308,24,2.6632486864595815
309,17,2.34235003158292
310,16,1.984993091572965
311,18,2.057086358232219
312,15,1.5821510534755236
313,17,1.6792282082764982
314,18,1.5638039886519652
315,17,1.7861153114453858
316,18,1.7094156011849913
317,20,2.030328450895546
318,17,1.5454430030290762
319,16,1.6543326443153252
320,19,2.4197322814056204
321,15,1.9272365972598615
322,19,2.1075964304036354
323,19,2.1332047404522574
324,17,2.037159180283485
325,17,1.5441118209321156
326,18,1.6866889744580007
327,17,2.170613601083704
