variant,metric,mean,std
baseline_all,MSE,14.198252923322496,1.6016334659210814
hmbfr_top32,MSE,14.901890853952946,1.4925940332430507
hmbfr_top64,MSE,14.301443433049362,1.0563185748816977
hmbfr_top128,MSE,14.423673552859318,2.4791068101953715
